23112,112,100
23432,112,100
23456,128,100
23464,168,100
23464,252,100
23452,292,100
23416,304,100
23308,308,100
23268,288,100
23256,256,100
23268,220,100
23308,204,100
23420,208,100
23932,208,100
23972,212,100
23992,236,100
23996,280,100
23996,388,100
23996,424,100
24024,452,100
24060,452,100
24736,452,100
25040,452,100
25072,436,100
25084,404,100
25084,316,100
25068,288,100
25044,276,100
24944,276,100
24908,284,100
24888,308,100
24888,336,100
24912,364,100
24936,372,100
24964,368,100
24984,348,100
24988,316,100
24988,240,100
24984,176,100
25012,148,100
25060,148,100
25292,148,100
